display  D   display_settings.c:212  debug_display_settings           [   0.06983] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06995] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.07608] Trying format 0.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.07730] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.07749] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.11752] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:849  d3d_create_device                [   0.14311] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:857  d3d_create_device                [   0.14457] Success
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.14480] Resumed after wait.
d3d      I         d3d_disp.cpp:1734 d3d_create_display_internals     [   0.14498] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1765 d3d_create_display_internals     [   0.14514] Returning d3d_display: 00AB88E8
d3d      D         d3d_disp.cpp:1790 d3d_create_display_locked        [   0.14528] al_display=00AB88E8
d3d      D         d3d_disp.cpp:1791 d3d_create_display_locked        [   0.14542] al_display->vt=00A21AE0
system   D            wsystem.c:799  maybe_parent_dir                 [   0.14591] Also searching C:\Users\alanv\source\repos\Project3\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.14627] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:760  load_library_at_path             [   0.14655] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:763  load_library_at_path             [   0.15089] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.15108] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.15204] added dtor for queue 093A9CD8, func 78EA154B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15250] added dtor for timer 00A767B0, func 78EA1695
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   1.19304] destroying display 00AB88E8 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   1.19803] waiting for display 00AB88E8's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   1.21198] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   1.21667] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1558 d3d_display_thread_proc          [   1.22653] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.22785] removed dtor for timer 00A767B0
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.22814] removed dtor for queue 093A9CD8
